instr.;opcode;dez;mnemonic;register;needs ea;read;write;addr.mode;H;N;Z;V;C;desc;category
JMP;$7e;126;JMP;;yes;;;EXTENDED;-;-;-;-;-;pc = EA;Miscellaneous Instructions
JMP;$6e;110;JMP;;yes;;;INDEXED;-;-;-;-;-;pc = EA;Miscellaneous Instructions
JSR;$9d;157;JSR;;yes;;;DIRECT;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
JSR;$bd;189;JSR;;yes;;;EXTENDED;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
JSR;$ad;173;JSR;;yes;;;INDEXED;-;-;-;-;-;jump to subroutine;Miscellaneous Instructions
BHS;$1024;4132;LBCC;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLO;$1025;4133;LBCS;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BEQ;$1027;4135;LBEQ;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BGE;$102c;4140;LBGE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BGT;$102e;4142;LBGT;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BHI;$1022;4130;LBHI;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLE;$102f;4143;LBLE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BLS;$1023;4131;LBLS;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BLT;$102d;4141;LBLT;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BMI;$102b;4139;LBMI;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Simple Branch Instructions
BNE;$1026;4134;LBNE;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Unsigned Branch Instructions
BPL;$102a;4138;LBPL;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Simple Branch Instructions
BRA;$16;22;LBRA;;yes;;;RELATIVE_WORD;-;-;-;-;-;;other Branch Instructions
BRN;$1021;4129;LBRN;;yes;;;RELATIVE_WORD;-;-;-;-;-;;other Branch Instructions
BSR;$17;23;LBSR;;yes;;;RELATIVE_WORD;-;-;-;-;-;;other Branch Instructions
BVC;$1028;4136;LBVC;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
BVS;$1029;4137;LBVS;;yes;;;RELATIVE_WORD;-;-;-;-;-;;Signed Branch Instructions
LD;$96;150;LDA;REG_A;;BYTE;;DIRECT;-;a;a;0;-;A = M;8-Bit Accumulator and Memory Instructions
LD;$b6;182;LDA;REG_A;;BYTE;;EXTENDED;-;a;a;0;-;A = M;8-Bit Accumulator and Memory Instructions
LD;$86;134;LDA;REG_A;;BYTE;;IMMEDIATE;-;a;a;0;-;A = M;8-Bit Accumulator and Memory Instructions
LD;$a6;166;LDA;REG_A;;BYTE;;INDEXED;-;a;a;0;-;A = M;8-Bit Accumulator and Memory Instructions
LD;$d6;214;LDB;REG_B;;BYTE;;DIRECT;-;a;a;0;-;B = M;8-Bit Accumulator and Memory Instructions
LD;$f6;246;LDB;REG_B;;BYTE;;EXTENDED;-;a;a;0;-;B = M;8-Bit Accumulator and Memory Instructions
LD;$c6;198;LDB;REG_B;;BYTE;;IMMEDIATE;-;a;a;0;-;B = M;8-Bit Accumulator and Memory Instructions
LD;$e6;230;LDB;REG_B;;BYTE;;INDEXED;-;a;a;0;-;B = M;8-Bit Accumulator and Memory Instructions
LD;$dc;220;LDD;REG_D;;WORD;;DIRECT_WORD;-;a;a;0;-;D = M:M+1;16-Bit Accumulator and Memory Instructions Instruction
LD;$fc;252;LDD;REG_D;;WORD;;EXTENDED_WORD;-;a;a;0;-;D = M:M+1;16-Bit Accumulator and Memory Instructions Instruction
LD;$cc;204;LDD;REG_D;;WORD;;IMMEDIATE_WORD;-;a;a;0;-;D = M:M+1;16-Bit Accumulator and Memory Instructions Instruction
LD;$ec;236;LDD;REG_D;;WORD;;INDEXED_WORD;-;a;a;0;-;D = M:M+1;16-Bit Accumulator and Memory Instructions Instruction
LD;$10de;4318;LDS;REG_S;;WORD;;DIRECT_WORD;-;a;a;0;-;S = M:M+1;Index/Stack Pointer Instructions
LD;$10fe;4350;LDS;REG_S;;WORD;;EXTENDED_WORD;-;a;a;0;-;S = M:M+1;Index/Stack Pointer Instructions
LD;$10ce;4302;LDS;REG_S;;WORD;;IMMEDIATE_WORD;-;a;a;0;-;S = M:M+1;Index/Stack Pointer Instructions
LD;$10ee;4334;LDS;REG_S;;WORD;;INDEXED_WORD;-;a;a;0;-;S = M:M+1;Index/Stack Pointer Instructions
LD;$de;222;LDU;REG_U;;WORD;;DIRECT_WORD;-;a;a;0;-;U = M:M+1;Index/Stack Pointer Instructions
LD;$fe;254;LDU;REG_U;;WORD;;EXTENDED_WORD;-;a;a;0;-;U = M:M+1;Index/Stack Pointer Instructions
LD;$ce;206;LDU;REG_U;;WORD;;IMMEDIATE_WORD;-;a;a;0;-;U = M:M+1;Index/Stack Pointer Instructions
LD;$ee;238;LDU;REG_U;;WORD;;INDEXED_WORD;-;a;a;0;-;U = M:M+1;Index/Stack Pointer Instructions
