TST;0;-aa0-;7;0x7d;;EXTENDED;TST;3;TST;TEMP = M - 0
CLR;0;-0100;7;0x7f;;EXTENDED;CLR;3;CLR;TEMP = M M = 00 16
SUBA;0;uaaaa;2;0x80;A;IMMEDIATE;SUB;2;SUB8;R' = R - M
CMPA;0;uaaaa;2;0x81;A;IMMEDIATE;CMP;2;CMP8;TEMP = R - M
SBCA;0;uaaaa;2;0x82;A;IMMEDIATE;SBC;2;SBC;R' = R - M - C
ANDA;0;-aa0-;2;0x84;A;IMMEDIATE;AND;2;AND;R' = R AND M
BITA;0;-aa0-;2;0x85;A;IMMEDIATE;BIT;2;BIT;TEMP = R AND M
LDA;0;-aa0-;2;0x86;A;IMMEDIATE;LD;2;LD8;R' = M
EORA;0;-aa0-;2;0x88;A;IMMEDIATE;EOR;2;EOR;R' = R XOR M
ADCA;0;aaaaa;2;0x89;A;IMMEDIATE;ADC;2;ADC;R' = R + M + C
ORA;0;-aa0-;2;0x8a;A;IMMEDIATE;OR;2;OR;R' = R OR M
ADDA;0;aaaaa;2;0x8b;A;IMMEDIATE;ADD;2;ADD8;R' = R + M
SUBA;0;uaaaa;4;0x90;A;DIRECT;SUB;2;SUB8;R' = R - M
CMPA;0;uaaaa;4;0x91;A;DIRECT;CMP;2;CMP8;TEMP = R - M
SBCA;0;uaaaa;4;0x92;A;DIRECT;SBC;2;SBC;R' = R - M - C
ANDA;0;-aa0-;4;0x94;A;DIRECT;AND;2;AND;R' = R AND M
BITA;0;-aa0-;4;0x95;A;DIRECT;BIT;2;BIT;TEMP = R AND M
LDA;0;-aa0-;4;0x96;A;DIRECT;LD;2;LD8;R' = M
STA;0;-aa0-;4;0x97;A;DIRECT;ST;2;ST8;M' = R
EORA;0;-aa0-;4;0x98;A;DIRECT;EOR;2;EOR;R' = R XOR M
ADCA;0;aaaaa;4;0x99;A;DIRECT;ADC;2;ADC;R' = R + M + C
ORA;0;-aa0-;4;0x9a;A;DIRECT;OR;2;OR;R' = R OR M
ADDA;0;aaaaa;4;0x9b;A;DIRECT;ADD;2;ADD8;R' = R + M
SUBA;0;uaaaa;4;0xa0;A;INDEXED;SUB;2;SUB8;R' = R - M
CMPA;0;uaaaa;4;0xa1;A;INDEXED;CMP;2;CMP8;TEMP = R - M
SBCA;0;uaaaa;4;0xa2;A;INDEXED;SBC;2;SBC;R' = R - M - C
ANDA;0;-aa0-;4;0xa4;A;INDEXED;AND;2;AND;R' = R AND M
BITA;0;-aa0-;4;0xa5;A;INDEXED;BIT;2;BIT;TEMP = R AND M
LDA;0;-aa0-;4;0xa6;A;INDEXED;LD;2;LD8;R' = M
STA;0;-aa0-;4;0xa7;A;INDEXED;ST;2;ST8;M' = R
EORA;0;-aa0-;4;0xa8;A;INDEXED;EOR;2;EOR;R' = R XOR M
ADCA;0;aaaaa;4;0xa9;A;INDEXED;ADC;2;ADC;R' = R + M + C
ORA;0;-aa0-;4;0xaa;A;INDEXED;OR;2;OR;R' = R OR M
ADDA;0;aaaaa;4;0xab;A;INDEXED;ADD;2;ADD8;R' = R + M
SUBA;0;uaaaa;5;0xb0;A;EXTENDED;SUB;3;SUB8;R' = R - M
CMPA;0;uaaaa;5;0xb1;A;EXTENDED;CMP;3;CMP8;TEMP = R - M
SBCA;0;uaaaa;5;0xb2;A;EXTENDED;SBC;3;SBC;R' = R - M - C
ANDA;0;-aa0-;5;0xb4;A;EXTENDED;AND;3;AND;R' = R AND M
BITA;0;-aa0-;5;0xb5;A;EXTENDED;BIT;3;BIT;TEMP = R AND M
LDA;0;-aa0-;5;0xb6;A;EXTENDED;LD;3;LD8;R' = M
STA;0;-aa0-;5;0xb7;A;EXTENDED;ST;3;ST8;M' = R
EORA;0;-aa0-;5;0xb8;A;EXTENDED;EOR;3;EOR;R' = R XOR M
ADCA;0;aaaaa;5;0xb9;A;EXTENDED;ADC;3;ADC;R' = R + M + C
ORA;0;-aa0-;5;0xba;A;EXTENDED;OR;3;OR;R' = R OR M
ADDA;0;aaaaa;5;0xbb;A;EXTENDED;ADD;3;ADD8;R' = R + M
SUBB;0;uaaaa;2;0xc0;B;IMMEDIATE;SUB;2;SUB8;R' = R - M
CMPB;0;uaaaa;2;0xc1;B;IMMEDIATE;CMP;2;CMP8;TEMP = R - M
SBCB;0;uaaaa;2;0xc2;B;IMMEDIATE;SBC;2;SBC;R' = R - M - C
ANDB;0;-aa0-;2;0xc4;B;IMMEDIATE;AND;2;AND;R' = R AND M
BITB;0;-aa0-;2;0xc5;B;IMMEDIATE;BIT;2;BIT;TEMP = R AND M
LDB;0;-aa0-;2;0xc6;B;IMMEDIATE;LD;2;LD8;R' = M
EORB;0;-aa0-;2;0xc8;B;IMMEDIATE;EOR;2;EOR;R' = R XOR M
ADCB;0;aaaaa;2;0xc9;B;IMMEDIATE;ADC;2;ADC;R' = R + M + C
ORB;0;-aa0-;2;0xca;B;IMMEDIATE;OR;2;OR;R' = R OR M
ADDB;0;aaaaa;2;0xcb;B;IMMEDIATE;ADD;2;ADD8;R' = R + M
SUBB;0;uaaaa;4;0xd0;B;DIRECT;SUB;2;SUB8;R' = R - M
CMPB;0;uaaaa;4;0xd1;B;DIRECT;CMP;2;CMP8;TEMP = R - M
SBCB;0;uaaaa;4;0xd2;B;DIRECT;SBC;2;SBC;R' = R - M - C
ANDB;0;-aa0-;4;0xd4;B;DIRECT;AND;2;AND;R' = R AND M
BITB;0;-aa0-;4;0xd5;B;DIRECT;BIT;2;BIT;TEMP = R AND M
LDB;0;-aa0-;4;0xd6;B;DIRECT;LD;2;LD8;R' = M
STB;0;-aa0-;4;0xd7;B;DIRECT;ST;2;ST8;M' = R
